ID;Name;RequestingArea;RevenueStream;BudgetGroup;MicroPhase;PriorityRA;Value;Urgency;Risk;Size
131993;INT| - Mata Aplicações Wave 1.1X - Solução de Transformação;SI;Mail;Technology;Backlog;30;;;;
131992;INT | Mulesoft – Refatorização de Aplicações;SI;Mail;Technology;Backlog;15;;;;
131991;INT | Migração da solução da Knowledge Base atual para uma solução Knowledge Base coorporativa;SI;Mail;Technology;Backlog;43;;;;
131990;INT| Descontinuar os serviços suportados pelo Biztalk;SI;Mail;Technology;Backlog;51;;;;
131989;INT| - Mata Aplicações Wave 1.1X - Tradutor;SI;Mail;Technology;Backlog;37;;;;
131776;NOXUS - Plataforma de IA;SI;Mail;Technology;Backlog;999;4,0;2,0;2,0;2,0
131734;Controlo de correio JPP;GP B2B;Mail;Commercial;Backlog;2;1,0;;1,0;2,0
128060;XRP | Alteração do fluxo de contabilização;RS;Mail;Corporate;Backlog;1;;;;
128057;XRP | Refaturação entre empresas;RS;Mail;Corporate;Backlog;3;;;;
127817;ODIN | Muticloud;SI;Mail;Technology;Backlog;35;5,0;1,0;1,0;2,0
127626;Expurgo automatic sharepoint e Team;SI;Mail;Technology;Backlog;29;;;;
127624;Implementação QuickWins MagicBeans;SI;Mail;Technology;Backlog;19;;;;
127619;Configuration Profiles Endpoint;SI;Mail;Technology;Backlog;26;;;;
127396;Evolutivos Nave Janeiro e Fevereiro 2026;GS;Mail;Commercial;In Approval;6;;;;
127258;Aviso de Receção (AR) Digital | Envios SuperApp e Site CTT;GP B2C;Mail;Commercial;Backlog;999;;;;
127257;Aviso de Receção (AR) Digital | Envios SuperPortal e Prestadores;GP B2B;Mail;Commercial;Backlog;4;;;;
127256;Correio Registado Self-Service| Envios a partir do SuperPortal;GP B2B;Mail;Commercial;Backlog;13;;;;
127240;Faturação CORRE - Identificação do as-is e desenho do to-be;SI-CRP;Mail;Technology;Backlog;999;2,0;3,0;3,0;2,0
127239;Evolutivos SAP BRIM (JAN/FEV 26);SI-CRP;eCommerce;Technology;In Approval;999;3,0;2,0;2,0;1,0
127226;Subsidio social de mobilidade - alterações Portaria n.º 12-B/2026/1, de 6 de janeiro;GP B2C;Retail & Financial Services;Commercial;Ready for Approval;999;;4,0;4,0;2,0
127066;Galaxy - Jornada de envios – Jornada Expresso com oferta ibérica;GS;eCommerce;Commercial;Backlog;12;;;;
127065;Galaxy - Jornada de envios – Push recolha destinatário;GS;eCommerce;Commercial;Pitch;2;3,0;2,0;1,0;3,0
126963;GitHub Migration - Implementação de Pipeline T&T em GitHub;SI-OPS;Mail;Technology;Backlog;999;4,0;;3,0;3,0
126944;GitHub Migration - Aplicações Wave 1;SI-OPS;Mail;Technology;Backlog;4;4,0;3,0;3,0;3,0
126931;Moneyball - Gestão de Consentimentos;GS;Mail;Commercial;Backlog;3;;;;
126772;Paperless - Guia expresso passar de 3 vias para 2, em apenas uma página;SI-PRD;Business Solutions;Technology;Backlog;11;;;;
126749;SGEE - Migração de Pipelines ADO2Github;SI-OPS;Mail;Technology;Backlog;3;;;;
126735;Data Cost Allocation Model by Business Area;PC;Mail;Corporate;Backlog;8;3,0;;;
126734;Migrate Azure Devops to Github Repos and Github Actions - Data repos;PC;Mail;Corporate;Backlog;2;;;2,0;
126661;RH - AI Automation;GRH;Mail;Corporate;Backlog;8;3,0;2,0;2,0;2,0
126656;CIS - AI Automation - BO Faturação;CSI;Mail;Commercial;Backlog;21;4,0;3,0;2,0;2,0
126647;MobiCTT - Migração de Pipelines ADO2Github;SI-OPS;Mail;Technology;Backlog;2;;;;
126646;Incremento ao projeto LFT - Volume certificado e não certificado;EM;eCommerce;Operations;In Definition;1;;;;
126645;GENAI-TOF;CF;Mail;Corporate;Backlog;3;;;;
126644;GENAI- Rossum;CF;Mail;Corporate;Backlog;1;;;;
126643;Faturas PDF | SuperApp - Faturação Portagens;CF;Mail;Corporate;Backlog;8;3,0;3,0;4,0;1,0
126641;GENAI-NBanks;CF;Mail;Corporate;Backlog;2;;;;
126588;Renovação ativos rede Datacenter CTT Express (Lisboa e Barcelona);SI;Mail;Technology;Backlog;38;;;;
126587;Renovação DNS - Infoblox;SI;Mail;Technology;Ready for Solution;34;;;;
126586;Renovação core LAN Porto;SI;Mail;Technology;In Definition;999;5,0;2,0;2,0;3,0
126585;Renovação Firewalls Perímetro - CheckPoint;SI;Mail;Technology;Backlog;5;;;;
126584;Reducing the rollout of Praas printers:;SI;Mail;Technology;Backlog;999;;;;
126583;Eliminate 50% of O365 Copilot licences;SI;Mail;Technology;Backlog;14;;;;
126582;Eliminate Azure Devops Pilpelines and Projects - move to BusinessMaps and GithubEpic Title;SI;Mail;Technology;Backlog;999;;;;
126581;Downgrade 1.200 / 4.186 Microsoft O365 E5 licences (local) to O365 F3 (web) [1/2 year];SI;Mail;Technology;Backlog;2;;;;
126580;Estudo para levantamento e alternativa ao MUS (Microsoft);SI;Mail;Technology;Backlog;54;;;;
126579;Reformulação do serviço AOS;SI;Mail;Technology;Backlog;11;;;;
126578;Reformulação do serviço HDDTM;SI;Mail;Technology;Backlog;10;;;;
126577;Renovaçao dos contratos de outsouricng COM;SI;Mail;Technology;In Definition;8;;;;
126576;Plano de formação (global e board);CISO;Mail;CISO;Backlog;3;;;;
126575;DLP (Data Loss Prevention) - Wave 2;CISO;Mail;CISO;Backlog;9;;;;
126574;DLP (Data Loss Prevention) - Wave 1;CISO;Mail;CISO;Backlog;2;;;;
126509;Alargamento Infraestrutura SI a outros sistemas desenvolvidos por EDO;EDO;Mail;Operations;Backlog;3;;;;
126480;Sites e Aplicativos | Melhorias às plataformas - JAN e FEV 2026;DNI;Mail;Commercial;Backlog;6;;;;
126478;Ecossistema B2C – Evolutiva - JAN e FEV 2026;DNI;eCommerce;Commercial;Backlog;4;;;;
126476;Evolutivos Ecossistema Expresso | JAN e FEV 2026;GP ECL;eCommerce;Commercial;In Definition;31;;;;
126474;Área de Cliente CTT - Empresas| Agile Way JAN e FEV 2026;DNI;Mail;Commercial;Backlog;5;;;;
126459;Super B2C (App + Área Cliente) | Incluir publicidade genérica do Banco CTT nos canais digitais dos CTT;DNI;Mail;Commercial;Backlog;2;;;;
126458;Super B2C (App + Área Cliente) | Alterar forma de gerar push notification na App;DNI;Mail;Commercial;Backlog;1;3,0;;;
126423;INTERNACIONAL | IPS Instalar a versão do package #19 (technical version 13.1.19);SEO;Mail;Operations;Ready for Solution;4;3,0;2,0;2,0;3,0
126278;PAI NATAL SOLIDÁRIO;CMP;Mail;Corporate;Backlog;1;2,0;2,0;2,0;3,0
126166;Produto Internacional Expresso | Permitir envio de bens para os EUA segmento ocasional;GP ECL;eCommerce;Commercial;Backlog;14;4,0;3,0;3,0;
126099;Desenvolvimentos Regulamentares (Congresso UPU Dubai + Incremental Riade);GP B2B;Mail;Commercial;Backlog;6;;;;
126044;Pesquisa de Pontos Collect | Melhorias;GP ECL;eCommerce;Commercial;Backlog;8;;;;
126043;Morada virtual | Serviço de subscrição;GP ECL;eCommerce;Commercial;Backlog;3;;;;
126023;Melhorias ao processo de envio de comunicações da Zurich;SI-PRD;Business Solutions;Technology;Backlog;9;;2,0;1,0;
125919;Criação de chatbot no portal ctt expresso;SI-PRD;eCommerce;Technology;Backlog;3;;;;
125918;Criação de chatbot no super portal;SI-PRD;Mail;Technology;Backlog;2;;;;
125916;Paperless - Faturação eletrónica em loja;SI-PRD;Mail;Technology;Backlog;4;;;;
125912;Serviço de envio de emails sediado na europa;GP B2B;Business Solutions;Commercial;Backlog;18;2,0;;3,0;2,0
125766;Evolutivas SAP FI Q1 2026;CF;Mail;Corporate;Backlog;11;1,0;1,0;1,0;1,0
125697;DeMinimis EUA - Solução para retomar os envios de Bens para os EUA para os clientes não contratuais;GP B2B;Mail;Commercial;Backlog;1;3,0;3,0;3,0;3,0
125694;Integração de Crashlytics nas aplicações mobile;SI;Mail;Technology;Backlog;36;;;;
125693;Upgrade servidores OutSystems para Windows Server 2022;SI;Mail;Technology;Backlog;25;;;;
125692;Upgrade plataforma OutSystems para versão 11.40.0;SI;Mail;Technology;Backlog;17;;;;
125545;Observability | Alarm Catalog for self provision in applications;SI;Mail;Technology;In Definition;12;5,0;2,0;1,0;
125544;Observability | Alarm Catalog Standardization through applications;SI;Mail;Technology;In Definition;27;5,0;2,0;1,0;
125543;ODIN | Iberian Observability Stack;SI;Mail;Technology;In Definition;3;5,0;2,0;1,0;
125275;Modernização do Processo de Devolução – Fim dos Carimbos usados no CDP;EDO;Mail;Operations;Backlog;6;;;;
125218;revamp.EPM - Framework CPM 360 Full Scope (Non Core);PC;Mail;Corporate;Ready for Solution;3;;;;
124871;Auditoria 2.0 - Criação de Data Lake para implementação de Auditoria Contínua e Auditoria à Distancia - Entrega Modelos Analíticos;ACR;Mail;Corporate;In Definition;1;;;;
124738;Nexus | We Serve - Integración eventos desde CTT PT​;SI-OPS;eCommerce;Technology;In Definition;1;;3,0;3,0;
124619;Envios Online & Super APP | Serviço de Ponto de Entrega;GP ECL;eCommerce;Commercial;Backlog;5;;;;
124599;Plataforma de Gestão Documental IGCP;GP B2C;Retail & Financial Services;Commercial;Pitch;12;;;;
124133;Incremento ao processo de pagamento de faturas a fornecedores;CF;Mail;Corporate;Backlog;10;;;;
124021;ODIN | Business unit clusters;SI;Mail;Technology;Backlog;41;;;;
124000;Milytech| Alteração à extração de dados de envios;GP ECL;eCommerce;Commercial;Backlog;15;;;;
123999;Interconnect Common Return Platform | Upgrade p/ V2 (CRP2);GP ECL;eCommerce;Commercial;Backlog;18;;;;
123649;Entrega em pontos para a cainiao;GS;eCommerce;Commercial;Pitch;1;;;;
123648;Amazon | Serviço Especial Feriado;GP ECL;eCommerce;Commercial;Backlog;7;;;;
123596;Descontinuação Doxenter - Wave 2;SI-PRD;Business Solutions;Technology;Backlog;14;;;;
123320;Auditoria SI - Wave 3 - Business Solutions;DPO;Mail;Corporate;Backlog;2;;;;
123319;Auditoria SI - Wave 3 - Canais Digitais;DPO;Mail;Corporate;Backlog;1;;;;
123004;Faturação do produto C65 - Tracked Simples - Alteração Pré-Aviso;GP ECL;eCommerce;Commercial;Backlog;12;;;;
122320;Implementação de modulo de Planeamento de Transportes em Drivian e Descontinuação do Sigest;SEO;Mail;Operations;High Level Design;1;4,0;2,0;3,0;2,0
121353;Configuração SAP para Introdução de IBANs da região SEPA;GPG;Payments;Commercial;Backlog;2;;;;
121296;SGEE | Automatização da Exportação de Liquidações LeYa;SEO;Mail;Operations;Backlog;999;;;;
120972;Cliente EDP - WS P&F- Novo Campo Data;GS;Business Solutions;Commercial;Backlog;4;;;;
120815;Faturação de Cliente Ocasional - SAP;GPG;Payments;Commercial;Backlog;3;;;;
120278;Revamp BIC - Indicadores diários e mensais de negócio;PC;Mail;Corporate;Backlog;6;;;;
120240;Mata Aplicações - Wave 1.14;SI;Mail;Technology;Ready for Development;999;4,0;2,0;2,0;3,0
119542;Nexus | We Bill | Charging;CTTE;eCommerce;Commercial;In Definition;999;;;;
119443;App ibérica de gestão de distribuição (last mile);EDO;eCommerce;Operations;Backlog;999;;;;
119415;Incremento ao Safeplace CTT;EDO;eCommerce;Operations;Backlog;9;;;;
118750;Validação Automática de Códigos Postais Internacionais;GP ECL;eCommerce;Commercial;Backlog;10;;;;
118174;GPB2C | Parceria Unicâmbio - Operacionalização de serviço de cambio;GP B2C;Retail & Financial Services;Commercial;Backlog;1;;;;
116662;Aviso de Entrega Digital;GP B2B;Mail;Commercial;In Definition;3;;;;
116026;Novo Catálogo de Aplicações (Atlas 2.0);SI;Mail;Technology;Ready for Approval;999;;;;
115295;Nexus - Piloto Operacional Fase 2;EDO;eCommerce;Operations;In Definition;2;;;;
113960;Informação das vendas por colaborador E nif;GS;Mail;Commercial;Backlog;40;;;;
111689;Indicadores para Planeamento e Controlo (transações manuais);GPG;Payments;Commercial;Backlog;7;;;;
111495;GT - Portal AON MVP (com SSO);GT;Mail;Corporate;Backlog;1;;;;
110325;Peak Season | Evento Chegada Tardia;SEO;eCommerce;Operations;Backlog;999;;;;
108852;Internacional | PA | Evolução da Linha de Tratamento Manual;SEO;Mail;Operations;Backlog;6;;;;
108455;SLA Engine | Cálculo do SLA tendo em consideração características especificas de clientes;SEO;eCommerce;Operations;Backlog;999;;;;
108370;Campanha para envios internacionais_PCR_4T2025;GP B2B;Mail;Commercial;Backlog;9;;;;
107975;Descontinuação do winreg;SI-PRD;Mail;Technology;Backlog;13;;;;
107765;Novas regras RCTO - Lista de Profissões;ACR;Mail;Corporate;In Definition;2;;;;
107435;Novo Aceitação imediata de objetos expresso em lockerProjeto;GS;eCommerce;Commercial;Backlog;9;;;;
106746;Sonar | Connect Github based applications to Sonar;SI;Mail;Technology;Backlog;46;;;;
105944;Expresso Internacional Premium | Disponibilização do produto no segmento ocasional;GP ECL;eCommerce;Commercial;In Definition;13;;;;
105938;Notificações Expresso | Aceitação no PUDO (Pedido ZALANDO);GP ECL;eCommerce;Commercial;In Definition;19;;;;
105685;IA & Automação Corporate;SI-CRP;Mail;Technology;Backlog;999;;;;
104562;Atendimento a nova Regulação aduaneiro de simplificação da exportação (SIMPLEX EXPORTAÇÃO);SEO;Mail;Operations;In Definition;5;;;;
104406;1º Wave da Auditoria aos processos de autorização e autenticação dos sistemas de informação SAP;ACR;Mail;Corporate;Backlog;999;;;;
103865;Avaliação do custo de extensão do licenciamento atual para a utilização do serviço webhook - BKTER;GP B2B;Business Solutions;Commercial;Backlog;17;;;;
101572;Lojas MEO - Recolhas Contextualizadas;GS;Mail;Commercial;In Definition;7;;;;
101373;Registo das atividades díarias do Giro nos CDPs;EDO;Mail;Operations;Backlog;999;;;;
100104;SGEE - Descontinuação FTP;SI-PRD;eCommerce;Technology;Backlog;12;;;;
100094;SRP - Descontinuação FTP;SI-PRD;eCommerce;Technology;Backlog;31;;;;
100093;TTEVOB - Descontinuação FTP;SI-PRD;eCommerce;Technology;Backlog;10;;;;
100092;PEF - Descontinuação da utilização do FTP;SI-PRD;Business Solutions;Technology;Backlog;8;;;;
99510;SAPSF - Solução de Interoperabilidade com a Segurança Social (Regulatório);GRH;Mail;Corporate;Ready for Development;2;;;;
98651;SAPSF - encriptação ficheiros SEPA CTT + CTTE;GRH;Mail;Corporate;Ready for Development;1;;;;
98564;CCP | Commercial Catalog | Synchronization with SAP;SI;Mail;Technology;Backlog;28;;;;
96621;Upgrade de Outsystems da versão 11.27.2 para a versão 11.36.0;SI;Mail;Technology;In Definition;999;;;;
96602;Ariba - migração para SAP R/3 dos dados do fornecedor em SAP Rise;CL;Mail;Corporate;Backlog;3;;;;
96588;POC Mobi - BYOD com parceiro SEMPREAPERCORRER;EDO;eCommerce;Operations;In Definition;999;;;;
96334;Github | Allow Github Actions to access resources inside CTT internal network;SI;Mail;Technology;Backlog;49;;;;
96332;CCP | OTP | Rebuild application in the current tech stack;SI;eCommerce;Technology;Backlog;4;;;;
95774;Alterações nos Relatórios do DEM para pagamentos MB WAY;GPG;Payments;Commercial;In Definition;5;;;;
95633;Assinaturas de autenticidade emails;SI;Mail;Technology;Backlog;999;;;;
94915;Agentes Payshop - passar ficheiro em access para base de dados;CSI;Mail;Commercial;Backlog;19;;;;
94489;Faturação Agentes Payshop - automatização e integração processo CTT;CSI;Mail;Commercial;Backlog;18;;;;
94164;Reconfiguração de Zonas de Taxação | Produtos Internacionais Expresso;GP ECL;eCommerce;Commercial;Backlog;17;;;;
93715;Logística - Utilização de Porta Paletes Autónomos;EDO;Fulfilment;Operations;In Definition;7;;;;
93681;BCE | Automatização da Aceitação de Registos;SEO;Mail;Operations;Backlog;999;;;;
93166;"Integração Automaise - Novo Voice Bot - Substituir as atuais ""primas""";AVC;Mail;Corporate;Backlog;1;;;;
92337;GCA - Aforro upgrade Oracle;GP B2C;Retail & Financial Services;Commercial;Backlog;3;;;;
92336;Mata Aplicações - Wave 1.X - ELS;GP B2C;Retail & Financial Services;Commercial;Backlog;13;;;;
91809;DSD | Criar as Listas de Correio Registado e de EMS em Simultâneo;EDO;Mail;Operations;Ready for Solution;1;;;;
91539;D. Oferta - atualização base de dados dos empregados CTT em NAVe;GS;Mail;Commercial;Backlog;32;;;;
90947;Descontinuação das Guias em Papel e Aplicações Locais – Introdução de um custo adicional;GP B2B;Mail;Commercial;Backlog;24;;;;
90573;SLA Engine| Microserviços na cloud ES;SI;Mail;Technology;Backlog;999;;;;
88961;Sistema de Validação Documental para Prestadores;SEO;eCommerce;Operations;In Definition;999;;;;
88857;CORP - Covline - Integração de clientes e contratos via kafka;CF;Mail;Corporate;Backlog;6;;;;
88803;Auditoria a Payroll–Sistemas SAP SF, IOS e SAP ECP (fase 2.0);ACR;Mail;Corporate;In Definition;999;;;;
88638;Novo modelo de integração SAP SF com Paynest;CF;Mail;Corporate;Backlog;4;;;;
88579;Automatização de validação do QR Code de Selos;GS;Mail;Commercial;In Definition;31;;;;
87975;Automatização do Registo de Tarefas em CRM Provenientes de Interações em GoContact;GS;Mail;Commercial;Backlog;33;;;;
87947;Gestão Centralizada de Ocorrências Operacionais;SEO;Mail;Operations;Backlog;999;;;;
87931;Carregamento de Listas nos CAs (Portal de Auto-Faturação);SEO;Mail;Operations;Backlog;999;;;;
87922;Criação de Ordens de Fornecimento SAP/R3;CL;Mail;Corporate;Backlog;1;;;;
87861;Teleponto - Migração de BD Oracle para BD SQL;SI-CRP;Mail;Technology;In Definition;999;;;;
86986;IQL | Incremento 1 | IQL com loja dummy e data IQL;ACR;Mail;Corporate;Backlog;3;;;;
85670;POD - API feasibility for Cainiao;GS;Mail;Commercial;In Definition;8;;;;
85248;Gestão de Stocks Vending em SAP;GS;Mail;Commercial;Backlog;30;;;;
84860;Amazon | Informação complementar de fechos ocasionais e férias;GP ECL;eCommerce;Commercial;In Definition;9;;;;
84849;Contabilização de Saldo Remanescente e separação entre Mail e Express no âmbito da oferta Pack de Envios;GP B2B;Mail;Commercial;Backlog;16;;;;
82419;Internacional | Regulatório cumprir ICS2 R2 e R3;SEO;Mail;Operations;In Definition;999;;;;
81605;DUC - Relatório Mensal de Pagamentos de Impostos com Cartão MB;GPG;Payments;Commercial;In Definition;999;;;;
81168;Tratamento de rejeitados no SD - Tipificar, isolar e informar (BG1): Incremento;EDO;eCommerce;Operations;In Definition;10;;;;
78905;Evolução Modelo de Incentivos Distribuição;SEO;Mail;Operations;Backlog;3;;;;
78453;Alteração da Autenticação dos Distribuidores nos Lockers;GP ECL;eCommerce;Commercial;In Definition;16;;;;
78005;Nexus | We Care | Adaptation of Service Infrastructures | MVP;AVC;eCommerce;Corporate;Backlog;6;;;;
78003;Nexus | We Care | Adaptation of Service Infrastructures | Pilot;AVC;eCommerce;Corporate;Backlog;4;;;;
78001;Nexus | We Care | SalesForce Parametrization | Post MVP;AVC;eCommerce;Corporate;Backlog;5;;;;
77999;Nexus | We Care | SalesForce Parameterization | Pilot;AVC;eCommerce;Corporate;Backlog;3;;;;
77828;Base Dados Modelo de Incentivos CTT Expresso;SEO;eCommerce;Operations;In Definition;2;;;;
76788;[Projeto One Million] Redução backlog objetos expresso;EDO;eCommerce;Operations;Backlog;11;;;;
76670;GALAXY | Identificação dos Clientes nas Lojas Físicas;GS;Mail;Commercial;In Definition;13;;;;
76554;Módulo de Compliance Payshop;GPG;Payments;Commercial;In Definition;4;;;;
76398;Galaxy | MCE & CDP - Nova Fase pós MVP - Equipa ENABLER Salesforce (AGILE WAY);GS;Mail;Commercial;In Definition;14;;;;
76382;[35908] - Jornada NBO: MOBI;GS;Mail;Commercial;In Definition;11;;;;
76303;Correio Registado Self-Service| Envios a partir da SuperApp e Site CTT;GS;Mail;Commercial;Backlog;34;;;;
76082;GP B2C – BO Site CTT - Simulador Certificados de Aforro / App CTT – Aforro Digital;GP B2C;Retail & Financial Services;Commercial;Backlog;4;;;;
75060;PCN | Wave 1 Documents Provider;ACR;Mail;Corporate;Backlog;999;;;;
75059;PCN | Wave 1 BMS Services;ACR;Mail;Corporate;Backlog;999;;;;
75055;PCN | Wave 1 IIB;ACR;Mail;Corporate;Backlog;999;;;;
75054;PCN | Wave 1 API Connect;ACR;Mail;Corporate;Backlog;999;;;;
75053;PCN | Wave 1 SAP R/3;ACR;Mail;Corporate;Backlog;999;;;;
75050;PCN | Wave 1 NAVE;ACR;Mail;Corporate;Backlog;999;;;;
75047;PCN | Wave 1 SGEE;ACR;Mail;Corporate;Backlog;999;;;;
75040;PCN | Wave 1 T&T;ACR;Mail;Corporate;Backlog;999;;;;
75004;PCN | Wave 1 FortiSiem;ACR;Mail;Corporate;Backlog;999;;;;
75003;PCN | Wave 1 SAP S/ 4Hana;ACR;Mail;Corporate;Backlog;999;;;;
74950;IOP | Instalação e Ativação da Componente Guardian - Nova Hyper V;SI;Mail;Technology;Backlog;56;;;;
74510;Alteração Talão Vales Postais superiores a 1.000€ - recomendação auditoria REC/ASN:2025-0015;CSI;Mail;Commercial;Backlog;11;;;;
74397;Nexus | We Serve | Treatment & First Mile | Decision Server MVP;EDO;eCommerce;Operations;In Definition;999;;;;
74238;LFT - Desenho de solução Corporativa;EM;eCommerce;Operations;In Definition;999;;;;
71728;Avaliação reforço do Cluster de Operações;SI-OPS;Mail;Technology;In Definition;999;;;;
71501;Nova Entidade Certificadora (CA) Autoridade Tributária e Aduaneira (AT).;CF;Mail;Corporate;In Definition;12;;;;
71332;IOP | Sistemas - Migração - Nova Farm Hyper V Lisboa - Wave 3;SI;Mail;Technology;Backlog;44;;;;
71073;Lojas com necessidade de 2 máquinas dispensadoras de senhas;BCTT;Mail;Technology;Backlog;1;;;;
70877;MobiCTT Incremento - Eliminação da lista grandes clientes e devoluções - Paperless;EDO;Mail;Operations;In Definition;999;;;;
70736;WFA | Incremento 3 | Férias;PC;Mail;Corporate;In Approval;4;;;;
70697;"Nexus | Digital Channels | CLIENT PORTAL | ""SUPER PORTAL"" (extra MVP)";DNI;eCommerce;Commercial;Backlog;3;;;;
70695;Nexus | Data | Group Data;PC;eCommerce;Corporate;In Definition;7;;;;
70693;Nexus | P&S | Collectt (OOH);GP ECL;eCommerce;Commercial;In Definition;2;;;;
70650;Monitorização da comunicação entre o sorter de Algoz e o SD;SI;Mail;Technology;Backlog;999;;;;
70559;Controlo dos Subadiantamentos (numerário) – cód. 011 - Auditoria REC/ARC 2024_1399;CSI;Mail;Commercial;Backlog;7;;;;
70356;Nexus | Phase 0 - Tech PoC;SI;Mail;Technology;Backlog;999;;;;
70181;Novo Modelo operativo - Postos CTT não NAVe;GPG;Payments;Commercial;Ready for Development;999;4,0;4,0;3,0;4,0
70063;Modelo de Dados de apoio aos indicadores de Logistica;SEO;Fulfilment;Operations;Backlog;8;;;;
70015;BCTT - renovação de equipamentos lojas especializadas;BCTT;Mail;Technology;Backlog;12;;;;
69892;Teleponto / Dol - Registo de situações de doenças;EDO;Mail;Operations;Backlog;5;;;;
69406;Nexus | We Bill | Upgrade Convergent Mediations e Charging;SI-CRP;eCommerce;Technology;In Definition;999;;;;
69351;ESW | EQA | Integração de Relatórios de Testes em Power BI;SI;Mail;Technology;In Definition;999;;;;
69344;Experiencia e Jornada do colaborador;GRH;Mail;Corporate;Backlog;9;;;;
69342;Substituição do IOS;GRH;Mail;Corporate;High Level Design;3;;;;
69341;Otimização CRB;CF;Mail;Corporate;Backlog;14;;;;
69337;Confirming 2.0;CF;Mail;Corporate;Backlog;13;;;;
69336;Auditoria a Payroll – Processos SAP SF, IOS e SAP ECP (Malias);ACR;Mail;Corporate;Backlog;999;;;;
69334;Dashboard – Projeto Livros Escolares Sonae 2025;SEO;Fulfilment;Operations;Backlog;999;;;;
69196;MACC: DC Lisboa - Jouney to Azure cloud;SI;Mail;Technology;Backlog;999;;;;
68919;Máquina vending machines: Associação de Receita, Faturação e gestão de stock;GS;Retail & Financial Services;Commercial;In Definition;35;;;;
68917;IOS - Novo Extrator de dados da aplicação IOS;GRH;Mail;Corporate;Backlog;4;;;;
68814;Dol - Alteração da fórmula de cálculo dos DVs + Registos Entregues;EDO;Mail;Operations;Backlog;999;;;;
68794;Tratamento de rejeitados no SD - Eliminar pré-avisos com CP ficticios (BG4);EDO;eCommerce;Operations;In Definition;8;;;;
68791;Tratamento de rejeitados no SD - Entrada de pré-aviso pós primeira passagem do objeto na rede de tratamento (BG3);EDO;eCommerce;Operations;In Definition;12;;;;
68595;Implementar validação de configuração segura de endpoint na solução de teletrabalho da 321 Crédito;BCTT;Mail;Technology;High Level Design;9;5,0;2,0;2,0;2,0
68267;Descontinuar Grafana Dados;PC;Mail;Corporate;Backlog;15;;;;
68236;Informação normalizada (Indicadores de Gestão IG) - Fusão relatório 65 no 59 (2º e 3º fase);GP B2B;Mail;Commercial;In Definition;7;;;;
67870;BCTT - disponibilização de logs via SFTP;BCTT;Mail;Technology;Backlog;5;;;;
